beer_id,beer_name,name,origin,alpha,beta,amount,use,form,time,notes
german-pilsner-8,[u'German Pilsner'],[u'Saaz (CZ)'],[u'Czech Republic'],[u'3.9'],[],[u'0.06900001814699999'],[u'Boil'],[u'Pellet'],[u'60'],[]
german-pilsner-8,[u'German Pilsner'],[u'Saaz (CZ)'],[u'Czech Republic'],[u'3.9'],[],[u'0.029000007626999995'],[u'Boil'],[u'Pellet'],[u'20'],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[],[],[],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Northern Brewer (DE)'],[u'Germany'],[u'8.5'],[],[u'0.05669906116184917'],[u'Boil'],[u'Leaf'],[u'60'],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Northern Brewer (DE)'],[u'Germany'],[u'8.5'],[],[u'0.028349530580924584'],[u'Boil'],[u'Leaf'],[u'15'],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Cascade (NZ)'],[u'New Zealand'],[u'7.5'],[],[u'0.04252429587138674'],[u'Boil'],[u'Leaf'],[u'10'],[u'This hops origins stem from an early US breeding program circa 1956 and was the first commercially bred hop to emerge from the USDA-ARS program when released in 1972. It was bred from crossing an English Fuggle with a male selection believed to have been a crossing of Fuggle with the Russian variety Serebrianka.']
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Cascade (NZ)'],[u'New Zealand'],[u'7.5'],[],[u'0.04252429587138674'],[u'Boil'],[u'Leaf'],[u'1'],[u'This hops origins stem from an early US breeding program circa 1956 and was the first commercially bred hop to emerge from the USDA-ARS program when released in 1972. It was bred from crossing an English Fuggle with a male selection believed to have been a crossing of Fuggle with the Russian variety Serebrianka.']
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[],[],[],[],[],[],[],[],[]
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Cascade (US)'],[u'United States'],[u'8.6'],[],[u'0.059533949999999995'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Cascade (US)'],[u'United States'],[u'8.6'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'17'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
ipa-938,[u'IPA'],[],[],[],[],[],[],[],[],[]
ipa-938,[u'IPA'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'30.0'],[u'Boil'],[u'Pellet'],[u'30'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
ipa-938,[u'IPA'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'100.0'],[u'Boil'],[u'Pellet'],[u'10'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
ipa-938,[u'IPA'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'25.0'],[u'Boil'],[u'Pellet'],[u'5'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
ipa-938,[u'IPA'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'50.0'],[u'Boil'],[u'Pellet'],[u'0'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
blondage,[u'Blondage'],[],[],[],[],[],[],[],[],[]
blondage,[u'Blondage'],[u'Nugget (US)'],[u'United States'],[u'13.8'],[],[u'0.009355335'],[u'Boil'],[u'Leaf'],[u'60'],"[u'Floral, resiny aroma and flavor. Primarily a bittering hop. Substitutes: Galena, Olympic.']"
blondage,[u'Blondage'],[u'Palisade (US)'],[u'United States'],[u'8.7'],[],[u'0.009355335'],[u'Boil'],[u'Pellet'],[u'20'],"[u'Palisade brand YCR 4 hop variety is an aroma hop that is known for its amazing yield and unique aroma. It invokes apricot, grass, and floral notes and is used regularly in commercial brewing.']"
winter-ipa-28,[u'Winter IPA'],[],[],[],[],[],[],[],[],[]
winter-ipa-28,[u'Winter IPA'],[u'Amarillo (US)'],[u'United States'],[u'9.3'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Popular American mid-range alpha acid variety with a unique and distinct aroma discovered growing ""wild"" (spontaneously) in one of their hop yards and developed by Virgil Gamache Farms in late 20th century. Also known as VGX001, its strain number. It is registered Brand VGXP01 cv.']"
winter-ipa-28,[u'Winter IPA'],[u'Centennial (US)'],[u'United States'],[u'10.5'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'60'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
winter-ipa-28,[u'Winter IPA'],[u'Centennial (US)'],[u'United States'],[u'10.5'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'40'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
winter-ipa-28,[u'Winter IPA'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'40'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
winter-ipa-28,[u'Winter IPA'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'20'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
winter-ipa-28,[u'Winter IPA'],[u'Simcoe (US)'],[u'United States'],[u'13.0'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'20'],[]
winter-ipa-28,[u'Winter IPA'],[u'Amarillo (US)'],[u'United States'],[u'9.3'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'5'],"[u'Popular American mid-range alpha acid variety with a unique and distinct aroma discovered growing ""wild"" (spontaneously) in one of their hop yards and developed by Virgil Gamache Farms in late 20th century. Also known as VGX001, its strain number. It is registered Brand VGXP01 cv.']"
ashleighs-knock-you-on-your-ass-beer,"[u""Ashleigh's Knock You on Your Ass Beer""]",[],[],[],[],[],[],[],[],[]
ashleighs-knock-you-on-your-ass-beer,"[u""Ashleigh's Knock You on Your Ass Beer""]",[u'Nugget (US)'],[u'United States'],[u'14.3'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Floral, resiny aroma and flavor. Primarily a bittering hop. Substitutes: Galena, Olympic.']"
ashleighs-knock-you-on-your-ass-beer,"[u""Ashleigh's Knock You on Your Ass Beer""]",[u'Warrior (US)'],[u'United States'],[u'16.0'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'30'],"[u'Warrior brand YCR 5 cv hop variety is an alpha hop used for its mild, clean bittering qualities. It is widely used in American pale ales and IPAs.']"
winter-warmer-ale-2013,[u'Winter warmer ale 2013'],[],[],[],[],[],[],[],[],[]
winter-warmer-ale-2013,[u'Winter warmer ale 2013'],[u'Nugget (US)'],[u'United States'],[u'14.3'],[],[u'0.04252424999999999'],[u'Boil'],[u'Leaf'],[u'60'],"[u'Floral, resiny aroma and flavor. Primarily a bittering hop. Substitutes: Galena, Olympic.']"
winter-warmer-ale-2013,[u'Winter warmer ale 2013'],[u'Nugget (US)'],[u'United States'],[u'14.3'],[],[u'0.0283495'],[u'Boil'],[u'Leaf'],[u'15'],"[u'Floral, resiny aroma and flavor. Primarily a bittering hop. Substitutes: Galena, Olympic.']"
shattered-wings-caa4b4,[u'Shattered Wings'],[],[],[],[],[],[],[],[],[]
shattered-wings-caa4b4,[u'Shattered Wings'],[u'Styrian Golding (SI)'],[u'Slovenia'],[u'5.25'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'60'],[]
shattered-wings-caa4b4,[u'Shattered Wings'],[u'Styrian Golding (SI)'],[u'Slovenia'],[u'5.25'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'30'],[]
shattered-wings-caa4b4,[u'Shattered Wings'],[u'Saaz (CZ)'],[u'Czech Republic'],[u'3.25'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'15'],[]
jamils-amber-red-ale,[u'Jamils Amber-Red Ale'],[],[],[],[],[],[],[],[],[]
jamils-amber-red-ale,[u'Jamils Amber-Red Ale'],[u'Magnum (DE)'],[u'Germany'],[u'14.0'],[],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'60'],[]
jamils-amber-red-ale,[u'Jamils Amber-Red Ale'],[u'Cascade (NZ)'],[u'New Zealand'],[u'5.5'],[],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'10'],[u'This hops origins stem from an early US breeding program circa 1956 and was the first commercially bred hop to emerge from the USDA-ARS program when released in 1972. It was bred from crossing an English Fuggle with a male selection believed to have been a crossing of Fuggle with the Russian variety Serebrianka.']
jamils-amber-red-ale,[u'Jamils Amber-Red Ale'],[u'Centennial (US)'],[u'United States'],[u'10.0'],[],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'10'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
jamils-amber-red-ale,[u'Jamils Amber-Red Ale'],[u'Cascade (NZ)'],[u'New Zealand'],[u'5.5'],[],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'1'],[u'This hops origins stem from an early US breeding program circa 1956 and was the first commercially bred hop to emerge from the USDA-ARS program when released in 1972. It was bred from crossing an English Fuggle with a male selection believed to have been a crossing of Fuggle with the Russian variety Serebrianka.']
all-brett-pale-f6d4e8,[u'All Brett Pale'],[],[],[],[],[],[],[],[],[]
all-brett-pale-f6d4e8,[u'All Brett Pale'],[u'Warrior (US)'],[u'United States'],[u'16.0'],[],[u'0.02551455'],[u'First Wort'],[u'Pellet'],[u'75'],"[u'Warrior brand YCR 5 cv hop variety is an alpha hop used for its mild, clean bittering qualities. It is widely used in American pale ales and IPAs.']"
all-brett-pale-f6d4e8,[u'All Brett Pale'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'15'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
all-brett-pale-f6d4e8,[u'All Brett Pale'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'0.056699'],[u'Boil'],[u'Pellet'],[u'0'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
trappist-meditation,[u'Trappist Meditation'],[],[],[],[],[],[],[],[],[]
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[],[],[],[],[],[],[],[],[]
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'0.00283495'],[u'First Wort'],[u'Pellet'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'0.00283495'],[u'Boil'],[u'Pellet'],[u'15'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'0.0056699'],[u'Boil'],[u'Pellet'],[u'10'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'0.00850485'],[u'Boil'],[u'Pellet'],[u'5'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'0.01417475'],[u'Dry Hop'],[u'Pellet'],[u'20160'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'0.0113398'],[u'Dry Hop'],[u'Pellet'],[u'10080'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
my-orval,[u'My Orval'],[],[],[],[],[],[],[],[],[]
my-orval,[u'My Orval'],[u'Perle (US)'],[u'United States'],[u'7.0'],[],[u'0.028349530580924584'],[u'Boil'],[u'Leaf'],[u'60'],[]
my-orval,[u'My Orval'],[u'Hallertau (DE)'],[u'Germany'],[u'4.7'],[],[u'0.028349530580924584'],[u'Boil'],[u'Leaf'],[u'40'],[]
my-orval,[u'My Orval'],[u'Styrian Golding (SI)'],[u'Slovenia'],[u'5.2'],[],[u'0.05669906116184917'],[u'Boil'],[u'Pellet'],[u'15'],[]
toasted-oat-ale,[u'Toasted Oat Ale'],[],[],[],[],[],[],[],[],[]
toasted-oat-ale,[u'Toasted Oat Ale'],[u'Fuggle (UK)'],[u'United Kingdom'],[u'4.75'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'60'],[]
toasted-oat-ale,[u'Toasted Oat Ale'],[u'Fuggle (UK)'],[u'United Kingdom'],[u'4.75'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'30'],[]
generic-wheat-to-split,[u'Generic Wheat to Split'],[],[],[],[],[],[],[],[],[]
generic-wheat-to-split,[u'Generic Wheat to Split'],[u'Tettnanger (US)'],[u'United States'],[u'4.5'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'60'],[]
lumberjack-candy,[u'Lumberjack Candy'],[],[],[],[],[],[],[],[],[]
lumberjack-candy,[u'Lumberjack Candy'],[u'Kent Golding (UK)'],[u'United Kingdom'],[u'4.9'],[],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'30'],[]
lumberjack-candy,[u'Lumberjack Candy'],[u'Kent Golding (UK)'],[u'United Kingdom'],[u'4.9'],[],[u'0.028349530580924584'],[u'Boil'],[u'Pellet'],[u'15'],[]
chili-willi,[u'Chili Willi'],[],[],[],[],[],[],[],[],[]
chili-willi,[u'Chili Willi'],[u'Cascade (US)'],[u'United States'],[u'3.4'],[],[u'0.0283495'],[u'First Wort'],[u'Leaf'],[u'90'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
chili-willi,[u'Chili Willi'],[u'Cascade (US)'],[u'United States'],[u'3.4'],[],[u'0.08504849999999999'],[u'Boil'],[u'Leaf'],[u'90'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
chili-willi,[u'Chili Willi'],[u'East Village Centennial (US)'],[u'United States'],[u'7.0'],[],[u'0.0283495'],[u'Boil'],[u'Leaf'],[u'1'],[]
mvp-millers-vanilla-porter,"[u""MVP (Miller's Vanilla Porter)""]",[],[],[],[],[],[],[],[],[]
mvp-millers-vanilla-porter,"[u""MVP (Miller's Vanilla Porter)""]",[u'Galena (US)'],[u'United States'],[u'13.0'],[],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'60'],"[u""A cultivar developed in 1968 from Brewer's Gold by open pollination in Idaho. An open pollination means that the male hop is unknown. The alpha acid content is relatively high\u201411.5 to 13.5%\u2014but its co-humulone content and its beta acid range are also high.""]"
fall-jogger,[u'Fall Jogger'],[],[],[],[],[],[],[],[],[]
fall-jogger,[u'Fall Jogger'],[u'Hallertau (US)'],[u'United States'],[u'4.5'],[],[u'0.04252424999999999'],[u'Boil'],[u'Pellet'],[u'60'],[]
highlander-ale,[u'Highlander Ale'],[],[],[],[],[],[],[],[],[]
highlander-ale,[u'Highlander Ale'],[u'Fuggle (US)'],[u'United States'],[u'4.0'],[],[u'0.028349530580924584'],[u'Boil'],[u'Pellet'],[u'60'],[]
irish-stout-2-8,[u'Irish Stout 2/8'],[],[],[],[],[],[],[],[],[]
irish-stout-2-8,[u'Irish Stout 2/8'],[u'Fuggle (US)'],[u'United States'],[u'5.2'],[],[u'0.056699'],[u'Boil'],[u'Pellet'],[u'45'],[]
double-b-wit,[u'Double B Wit'],[],[],[],[],[],[],[],[],[]
double-b-wit,[u'Double B Wit'],[u'Tettnanger (US)'],[u'United States'],[u'4.5'],[],[u'0.028349530580924584'],[u'Boil'],[u'Leaf'],[u'60'],[]
double-b-wit,[u'Double B Wit'],[u'Tettnanger (US)'],[u'United States'],[u'4.5'],[],[u'0.014174765290462292'],[u'Boil'],[u'Leaf'],[u'30'],[]
american-amber-12,[u'American Amber'],[],[],[],[],[],[],[],[],[]
american-amber-12,[u'American Amber'],[u'Cascade (NZ)'],[u'New Zealand'],[u'5.5'],[],[u'0.03543691322615565'],[u'Boil'],[u'Pellet'],[u'60'],[u'This hops origins stem from an early US breeding program circa 1956 and was the first commercially bred hop to emerge from the USDA-ARS program when released in 1972. It was bred from crossing an English Fuggle with a male selection believed to have been a crossing of Fuggle with the Russian variety Serebrianka.']
american-amber-12,[u'American Amber'],[u'East Kent Golding (UK)'],[u'United Kingdom'],[u'5.0'],[],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'30'],[]
amadan-wee-heavy-scotch-ale,[u'Amadan Wee Heavy Scotch Ale'],[],[],[],[],[],[],[],[],[]
amadan-wee-heavy-scotch-ale,[u'Amadan Wee Heavy Scotch Ale'],[u'Kent Golding (UK)'],[u'United Kingdom'],[u'4.5'],[],[u'0.028349530580924584'],[u'Boil'],[u'Leaf'],[u'60'],[]
black-sour-1,[u'Black Sour'],[],[],[],[],[],[],[],[],[]
little-rascal-esb,[u'Little Rascal ESB'],[],[],[],[],[],[],[],[],[]
little-rascal-esb,[u'Little Rascal ESB'],[u'Target (UK)'],[u'United Kingdom'],[u'11.0'],[],[u'20.0'],[u'Boil'],[u'Pellet'],[u'70'],[]
little-rascal-esb,[u'Little Rascal ESB'],[u'Fuggle (UK)'],[u'United Kingdom'],[u'4.75'],[],[u'40.0'],[u'Boil'],[u'Pellet'],[u'10'],[]
little-rascal-esb,[u'Little Rascal ESB'],[u'Fuggle (UK)'],[u'United Kingdom'],[u'4.75'],[],[u'10.0'],[u'Boil'],[u'Pellet'],[u'1'],[]
irish-dry-stout-6,[u'Irish Dry Stout'],[],[],[],[],[],[],[],[],[]
