beer_id,beer_name,name,origin,alpha,beta,display_amount,amount,use,form,time,notes
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Citra (US)'],[u'United States'],[u'11.1'],[],[u'2.0000021574225 oz'],[u'0.05669906116184917'],[u'Boil'],[u'Pellet'],[u'5'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Citra (US)'],[u'United States'],[u'11.1'],[],[u'2.0000021574225 oz'],[u'0.05669906116184917'],[u'Dry Hop'],[u'Pellet'],[u'10080'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
nut-brown-ale-102,[u'Nut Brown Ale'],[u'Fuggle (UK)'],[u'United Kingdom'],[u'4.75'],[],[u'2.0 oz'],[u'0.056699'],[u'Boil'],[u'Pellet'],[u'60'],[]
cascade-ipa-e15d96,[u'Cascade IPA'],[u'Cascade (US)'],[u'United States'],[u'5.75'],[],[u'2.5 oz'],[u'0.07087375'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
cascade-ipa-e15d96,[u'Cascade IPA'],[u'Cascade (US)'],[u'United States'],[u'5.75'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'30'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
cascade-ipa-e15d96,[u'Cascade IPA'],[u'Cascade (US)'],[u'United States'],[u'5.75'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'15'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
cascade-ipa-e15d96,[u'Cascade IPA'],[u'Cascade (US)'],[u'United States'],[u'5.75'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'0'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
cascade-ipa-e15d96,[u'Cascade IPA'],[u'Cascade (US)'],[u'United States'],[u'5.75'],[],[u'0.5 oz'],[u'0.01417475'],[u'Dry Hop'],[u'Pellet'],[u'10080'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Nugget (US)'],[u'United States'],[u'13.0'],[],[u'0.500000539355625 oz'],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Floral, resiny aroma and flavor. Primarily a bittering hop. Substitutes: Galena, Olympic.']"
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Willamette (US)'],[u'United States'],[u'5.5'],[],[u'1.00000107871125 oz'],[u'0.028349530580924584'],[u'Boil'],[u'Pellet'],[u'15'],[]
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'0.5 oz'],[u'0.01417475'],[u'First Wort'],[u'Leaf'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Leaf'],[u'15'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Leaf'],[u'10'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'1.5 oz'],[u'0.04252424999999999'],[u'Boil'],[u'Leaf'],[u'5'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'2.0 oz'],[u'0.056699'],[u'Dry Hop'],[u'Leaf'],[u'20160'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'2.0 oz'],[u'0.056699'],[u'Dry Hop'],[u'Leaf'],[u'10080'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Citra (US)'],[u'United States'],[u'12.4'],[],[u'2.0 oz'],[u'0.056699'],[u'Whirlpool'],[u'Leaf'],[u'0'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
honey-citra-pale,[u'Honey Citra Pale'],[u'Citra (US)'],[u'United States'],[u'13.65'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Leaf'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
honey-citra-pale,[u'Honey Citra Pale'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Leaf'],[u'30'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
honey-citra-pale,[u'Honey Citra Pale'],[u'Centennial (US)'],[u'United States'],[u'10.5'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Leaf'],[u'10'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
citripa,[u'Citripa'],[u'Citra (US)'],[u'United States'],[u'12.0'],[],[u'1.0 oz'],[u'0.0283495'],[u'Mash'],[u'Pellet'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
citripa,[u'Citripa'],[u'Citra (US)'],[u'United States'],[u'12.0'],[],[u'1.0 oz'],[u'0.0283495'],[u'Mash'],[u'Pellet'],[u'30'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
citripa,[u'Citripa'],[u'Citra (US)'],[u'United States'],[u'12.0'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'10'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
citripa,[u'Citripa'],[u'Citra (US)'],[u'United States'],[u'12.0'],[],[u'0.5 oz'],[u'0.01417475'],[u'Dry Hop'],[u'Pellet'],[u'7200'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
firework-cream-ale,[u'Firework Cream Ale'],[u'Northern Brewer (US)'],[u'United States'],[u'8.6'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'60'],[]
firework-cream-ale,[u'Firework Cream Ale'],[u'Northern Brewer (US)'],[u'United States'],[u'8.6'],[],[u'0.25 oz'],[u'0.007087375'],[u'Boil'],[u'Pellet'],[u'30'],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Northern Brewer (DE)'],[u'Germany'],[u'8.5'],[],[u'2.0000021574225 oz'],[u'0.05669906116184917'],[u'Boil'],[u'Leaf'],[u'60'],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Northern Brewer (DE)'],[u'Germany'],[u'8.5'],[],[u'1.00000107871125 oz'],[u'0.028349530580924584'],[u'Boil'],[u'Leaf'],[u'15'],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Cascade (NZ)'],[u'New Zealand'],[u'7.5'],[],[u'1.50000161806687 oz'],[u'0.04252429587138674'],[u'Boil'],[u'Leaf'],[u'10'],[u'This hops origins stem from an early US breeding program circa 1956 and was the first commercially bred hop to emerge from the USDA-ARS program when released in 1972. It was bred from crossing an English Fuggle with a male selection believed to have been a crossing of Fuggle with the Russian variety Serebrianka.']
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Cascade (NZ)'],[u'New Zealand'],[u'7.5'],[],[u'1.50000161806687 oz'],[u'0.04252429587138674'],[u'Boil'],[u'Leaf'],[u'1'],[u'This hops origins stem from an early US breeding program circa 1956 and was the first commercially bred hop to emerge from the USDA-ARS program when released in 1972. It was bred from crossing an English Fuggle with a male selection believed to have been a crossing of Fuggle with the Russian variety Serebrianka.']
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Centennial (US)'],[u'United States'],[u'10.0'],[],[u'2.0000021574225 oz'],[u'0.05669906116184917'],[u'Dry Hop'],[u'Leaf'],[u'14400'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
strawberry-blonde-18,[u'Strawberry Blonde'],[u'Hallertauer Aroma (NZ)'],[u'New Zealand'],[u'4.5'],[],[u'0.500000539355625 oz'],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'60'],[]
strawberry-blonde-18,[u'Strawberry Blonde'],[u'Willamette (US)'],[u'United States'],[u'5.5'],[],[u'0.250000269677813 oz'],[u'0.00708738264523116'],[u'Boil'],[u'Pellet'],[u'60'],[]
strawberry-blonde-18,[u'Strawberry Blonde'],[u'Amarillo (US)'],[u'United States'],[u'7.0'],[],[u'0.250000269677813 oz'],[u'0.00708738264523116'],[u'Boil'],[u'Pellet'],[u'15'],"[u'Popular American mid-range alpha acid variety with a unique and distinct aroma discovered growing ""wild"" (spontaneously) in one of their hop yards and developed by Virgil Gamache Farms in late 20th century. Also known as VGX001, its strain number. It is registered Brand VGXP01 cv.']"
strawberry-blonde-18,[u'Strawberry Blonde'],[u'Willamette (US)'],[u'United States'],[u'5.5'],[],[u'0.250000269677813 oz'],[u'0.00708738264523116'],[u'Boil'],[u'Pellet'],[u'5'],[]
indica-clone,[u'Indica Clone'],[u'Galena (US)'],[u'United States'],[u'13.0'],[],[u'44.4 g'],[u'44.4'],[u'Boil'],[u'Pellet'],[u'60'],"[u""A cultivar developed in 1968 from Brewer's Gold by open pollination in Idaho. An open pollination means that the male hop is unknown. The alpha acid content is relatively high\u201411.5 to 13.5%\u2014but its co-humulone content and its beta acid range are also high.""]"
indica-clone,[u'Indica Clone'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'44.4 g'],[u'44.4'],[u'Boil'],[u'Pellet'],[u'15'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
indica-clone,[u'Indica Clone'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'44.4 g'],[u'44.4'],[u'Dry Hop'],[u'Pellet'],[u'2880'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
rubaeus-clone,[u'Rubaeus Clone'],[u'Fuggle (US)'],[u'United States'],[u'4.75'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'60'],[]
coffee-creamer,[u'Coffee Creamer'],[u'Northern Brewer (US)'],[u'United States'],[u'9.0'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'60'],[]
coffee-creamer,[u'Coffee Creamer'],[u'Saaz (US)'],[u'United States'],[u'3.75'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'10'],[]
biermuncher-centennial-blonde-all-grain,[u'BierMuncher centennial blonde All Grain'],[u'Centennial (US)'],[u'United States'],[u'9.0'],[],[u'0.6 oz'],[u'0.0170097'],[u'Boil'],[u'Pellet'],[u'55'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
biermuncher-centennial-blonde-all-grain,[u'BierMuncher centennial blonde All Grain'],[u'Centennial (US)'],[u'United States'],[u'9.0'],[],[u'0.6 oz'],[u'0.0170097'],[u'Boil'],[u'Pellet'],[u'35'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
biermuncher-centennial-blonde-all-grain,[u'BierMuncher centennial blonde All Grain'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'0.6 oz'],[u'0.0170097'],[u'Boil'],[u'Pellet'],[u'20'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
biermuncher-centennial-blonde-all-grain,[u'BierMuncher centennial blonde All Grain'],[u'Cascade (US)'],[u'United States'],[u'6.9'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'5'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Cascade (US)'],[u'United States'],[u'8.6'],[],[u'2.1 oz'],[u'0.059533949999999995'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Cascade (US)'],[u'United States'],[u'8.6'],[],[u'1.0 oz'],[u'0.0283495'],[u'Boil'],[u'Pellet'],[u'17'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Cascade (US)'],[u'United States'],[u'8.6'],[],[u'2.0 oz'],[u'0.056699'],[u'Boil'],[u'Pellet'],[u'5'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
